customers,zip,branchName
12,15068,"Pittsburgh - PA"
12,15238,"Pittsburgh - PA"
12,15061,"Pittsburgh - PA"
12,06795,"Oxford - CT"
12,06524,"Oxford - CT"
12,06513,"Oxford - CT"
12,06604,"Oxford - CT"
12,23662,"Newport News - VA"
12,08057,"New Jersey Central - NJ"
12,08876,"New Jersey Central - NJ"
12,08534,"New Jersey Central - NJ"
12,78570,"McAllen - TX"
12,78550,"McAllen - TX"
12,03076,"Manchester - NH"
12,11754,"Long Island - NY"
12,11764,"Long Island - NY"
12,11946,"Long Island - NY"
12,11747,"Long Island - NY"
12,11510,"Long Island - NY"
12,11590,"Long Island - NY"
12,11703,"Long Island - NY"
12,11901,"Long Island - NY"
12,11561,"Long Island - NY"
12,,"Lexington - KY"
12,70517,"Lafayette - LA"
12,06096,"Hartford - CT"
12,06078,"Hartford - CT"
12,06106,"Hartford - CT"
12,17339,"Harrisburg - PA"
12,21074,"Harrisburg - PA"
12,22066,"DC West - DC"
12,22003,"DC West - DC"
12,76226,"Dallas Fort Worth Northwest - TX"
12,60503,"Chicago South - IL"
12,60107,"Chicago South - IL"
12,60491,"Chicago South - IL"
12,60448,"Chicago South - IL"
12,60015,"Chicago North - IL"
12,60202,"Chicago North - IL"
12,01719,"Boston North Shore - MA"
12,01851,"Boston North Shore - MA"
12,01450,"Boston North Shore - MA"
12,01880,"Boston North Shore - MA"
12,01890,"Boston North Shore - MA"
12,70807,"Baton Rouge - LA"
12,70802,"Baton Rouge - LA"
11,12570,"Westchester - NY"
11,10710,"Westchester - NY"
11,10980,"Westchester - NY"
11,12524,"Westchester - NY"
11,13211,"Syracuse - NY"
11,13204,"Syracuse - NY"
11,13035,"Syracuse - NY"
11,14608,"Rochester - NY"
11,14514,"Rochester - NY"
11,02790,"Providence - RI"
11,02184,"Providence - RI"
11,02885,"Providence - RI"
11,02130,"Providence - RI"
11,02832,"Providence - RI"
11,01721,"Providence - RI"
11,02740,"Providence - RI"
11,02186,"Providence - RI"
11,02777,"Providence - RI"
11,02857,"Providence - RI"
11,02720,"Providence - RI"
11,15212,"Pittsburgh - PA"
11,15017,"Pittsburgh - PA"
11,15234,"Pittsburgh - PA"
11,32162,"Orlando West - FL"
11,32824,"Orlando West - FL"
11,14219,"Orchard Park - NY"
11,14204,"Orchard Park - NY"
11,23314,"Newport News - VA"
11,08690,"New Jersey Central - NJ"
11,79758,"Midland - TX"
11,03049,"Manchester - NH"
11,11961,"Long Island - NY"
11,11730,"Long Island - NY"
11,11951,"Long Island - NY"
11,11701,"Long Island - NY"
11,11733,"Long Island - NY"
11,06471,"Hartford - CT"
11,06370,"Hartford - CT"
11,06119,"Hartford - CT"
11,06379,"Hartford - CT"
11,06424,"Hartford - CT"
11,06441,"Hartford - CT"
11,21136,"Harrisburg - PA"
11,17350,"Harrisburg - PA"
11,21742,"Harrisburg - PA"
11,17363,"Harrisburg - PA"
11,17322,"Harrisburg - PA"
11,22042,"DC West - DC"
